Q	Names
q369	List.Contains
q370	Comparer.OrdinalIgnoreCase List.PositionOf Occurrence.First
q371	Splitter.SplitByNothing
q372	Splitter.SplitTextByDelimiter
q373	QuoteStyle.Csv Splitter.SplitTextByDelimiter
q374	Splitter.SplitTextByEachDelimiter
q375	Splitter.SplitTextByLengths
q376	Combiner.CombineTextByDelimiter
q377	Combiner.CombineTextByDelimiter QuoteStyle.Csv
q378	Combiner.CombineTextByEachDelimiter
q379	Combiner.CombineTextByLengths
q380	Combiner.CombineTextByPositions
q381	Comparer.Ordinal
q382	Comparer.OrdinalIgnoreCase
q383	Comparer.OrdinalIgnoreCase List.Sort
q384	Comparer.FromCulture
q385	Comparer.Ordinal
q386	Value.Equals
q387	Value.Equals
q388	Value.Compare
q389	Value.Compare
q390	Comparer.Ordinal Comparer.OrdinalIgnoreCase Value.Compare
q391	Function.Invoke
q392	Function.Invoke Text.Upper
q393	Function.Invoke List.Sum
q394	Function.Invoke Text.Combine
q395	Function.Invoke
q396	Type.Is
q397	Record.FieldNames Type.RecordFields
q398	Record.FieldNames Type.FunctionParameters
q399	Value.Is
q400	Value.Is
q401	Expression.Evaluate
q402	Expression.Evaluate Text.Upper
q403	Expression.Evaluate
q404	Expression.Evaluate
q405	Expression.Evaluate
q406	Record.AddField Record.FieldNames
q407	Record.AddField Record.FieldNames
q408	Record.AddField Record.Field Value.Is
q409	Record.AddField Record.Field Value.Is
q410	Record.AddField Record.Field Value.Is
q411	Record.FromList
q412	Record.ToList
q413	Record.FromTable
q414	Record.ToTable
q415	Record.FieldNames Record.FieldValues Record.FromList Record.ToList
q416	Int64.Type List.Sum Table.Group
q417	Int64.Type Table.Group Table.RowCount
q418	Table.Group
q419	Int64.Type Table.Group Table.RowCount
q420	Int64.Type List.Sum Table.Group
q421	Table.Join
q422	Table.Join
q423	Table.Join
q424	Table.ColumnNames Table.NestedJoin
q425	Table.Join
q426	Table.Join
q427	Table.Join
q428	Table.Join
q429	Table.ColumnNames Table.NestedJoin
q430	Table.AddColumn Table.NestedJoin Table.RowCount Table.SelectColumns
q431	Int64.Type Table.TransformColumnTypes
q432	Table.TransformColumnTypes
q433	Table.TransformColumnTypes
q434	Int64.Type Table.TransformColumnTypes
q435	Table.TransformColumnTypes
q436	Splitter.SplitTextByDelimiter Table.SplitColumn
q437	Splitter.SplitTextByDelimiter Table.SplitColumn
q438	Combiner.CombineTextByDelimiter Table.CombineColumns
q439	QuoteStyle.Csv Splitter.SplitTextByDelimiter Table.SplitColumn
q440	Splitter.SplitTextByLengths Table.SplitColumn
q441	Date.WeekOfMonth
q442	Date.WeekOfYear Day.Monday
q443	Date.StartOfWeek Day.Monday Day.Sunday
q444	Date.EndOfWeek Day.Monday Day.Sunday
q445	Date.DayOfWeek Date.DayOfWeekName Day.Monday Day.Sunday
q446	Date.FromText
q447	Date.FromText
q448	Date.FromText
q449	Date.FromText
q450	Date.FromText
q451	Time.Hour Time.Minute Time.Second
q452	Time.From
q453	Time.ToText
q454	
q455	Duration.TotalMinutes
q456	Logical.From
q457	Logical.FromText
q458	Logical.FromText
q459	Logical.ToText
q460	Logical.From
q461	Percentage.From
q462	Percentage.From
q463	Percentage.Type Value.Is
q464	Percentage.From
q465	Percentage.From
q466	Currency.From
q467	Currency.From
q468	Currency.Type Value.Is
q469	Currency.From
q470	Currency.From
q471	Decimal.From
q472	Decimal.From Decimal.Type Double.Type Value.Is
q473	Decimal.From Decimal.Type Value.Is
q474	Decimal.From
q475	Int64.From
q476	Number.Random
q477	Number.RandomBetween
q478	List.AllTrue List.Transform Number.Random
q479	Number.RandomBetween
q480	List.Count List.Distinct List.Transform Number.RandomBetween
q481	Number.IntegerDivide Number.Mod
q482	Number.Mod
q483	Number.IntegerDivide
q484	Number.IntegerDivide Number.Mod
q485	Number.IntegerDivide Number.Mod Number.NaN
q486	Text.Insert
q487	Text.Remove
q488	Text.RemoveRange
q489	Text.Range
q490	Text.Insert Text.Range
q491	Text.PositionOf
q492	Occurrence.All Text.PositionOf
q493	Occurrence.All Text.PositionOfAny
q494	Comparer.OrdinalIgnoreCase Occurrence.First Text.PositionOf
q495	Comparer.OrdinalIgnoreCase Text.Contains Text.EndsWith Text.StartsWith
q496	Text.Length Text.NewGuid
q497	List.Transform Text.Length Text.NewGuid Text.Split
q498	List.Count List.Distinct List.Transform Text.NewGuid
q499	List.AllTrue List.Transform Text.Contains Text.Lower Text.NewGuid Text.Replace Text.ToList
q500	Text.Length Text.NewGuid Text.Replace
q501	List.MatchesAll
q502	List.MatchesAny
q503	List.IsEmpty
q504	List.MatchesAll List.MatchesAny Number.Mod
q505	List.MatchesAll List.MatchesAny
q506	List.FirstN
q507	List.LastN
q508	List.RemoveFirstN List.RemoveLastN
q509	List.FirstN List.RemoveFirstN
q510	List.FirstN List.LastN
q511	List.Repeat
q512	List.Repeat
q513	List.Generate
q514	List.Numbers
q515	List.Dates
q516	List.AllTrue
q517	List.AnyTrue
q518	List.AllTrue List.AnyTrue
q519	List.AllTrue List.Transform
q520	List.AllTrue List.AnyTrue
q521	Comparer.OrdinalIgnoreCase List.Distinct
q522	List.Union
q523	List.Intersect
q524	Comparer.OrdinalIgnoreCase List.Difference
q525	Comparer.Ordinal List.Union
q526	List.Skip
q527	List.Skip
q528	List.Range
q529	List.Range
q530	List.Range
q531	Character.FromNumber
q532	Character.ToNumber
q533	Character.FromNumber Character.ToNumber
q534	Character.FromNumber Character.ToNumber
q535	Character.FromNumber Character.ToNumber
q536	Json.FromValue Text.FromBinary TextEncoding.Utf8
q537	Json.FromValue Text.FromBinary TextEncoding.Utf8
q538	Json.FromValue Text.FromBinary TextEncoding.Utf8
q539	Json.FromValue Text.FromBinary TextEncoding.Utf8
q540	Json.FromValue Text.FromBinary TextEncoding.Utf8
q541	Number.Abs Number.Sign
q542	Number.Sqrt
q543	Number.Power
q544	Number.E Number.Exp Number.Ln Number.Log10
q545	Number.Ln Number.Log10
q546	Number.Cos Number.Sin Number.Tan
q547	Number.Acos Number.Asin Number.Atan
q548	Number.Atan2
q549	Number.Acos Number.Asin Number.Tan
q550	Number.Abs Number.Cos Number.Power Number.Sin
q551	Number.PI Number.Round
q552	Number.PI Number.Round
q553	Number.PI Number.Round
q554	Number.PI
q555	Number.PI Number.Round Number.Sin
q556	Number.BitwiseAnd
q557	Number.BitwiseOr
q558	Number.BitwiseXor
q559	Number.BitwiseShiftLeft Number.BitwiseShiftRight
q560	Number.BitwiseAnd Number.BitwiseOr Number.BitwiseXor
q561	Text.Proper
q562	Text.Trim
q563	Text.TrimEnd Text.TrimStart
q564	Text.Trim Text.TrimEnd Text.TrimStart
q565	Text.Proper Text.Trim
q566	Text.Lower Text.Upper
q567	Text.Lower Text.Upper
q568	Text.Lower Text.Upper
q569	Text.Length Text.Lower Text.Upper
q570	Character.ToNumber Text.Length
q571	List.Transform Number.Sqrt
q572	List.Transform
q573	List.Transform
q574	List.Transform
q575	List.Transform
q576	Record.RemoveFields
q577	Record.RenameFields
q578	Record.TransformFields Text.From
q579	Record.RemoveFields Record.RenameFields Record.TransformFields
q580	Record.RemoveFields Record.RenameFields Record.TransformFields
q581	Table.Distinct
q582	Table.Distinct
q583	Table.Distinct
q584	Comparer.OrdinalIgnoreCase Table.Distinct
q585	Table.Distinct Table.RowCount
q586	Table.Sort
q587	Order.Descending Table.Sort
q588	Order.Ascending Table.Sort
q589	Order.Ascending Order.Descending Table.Sort
q590	Table.Sort
q591	Table.SelectRows
q592	Table.SelectRows
q593	Table.SelectRows Text.StartsWith
q594	Table.SelectRows
q595	Number.Mod Table.SelectRows
q596	Table.FillDown
q597	Table.FillUp
q598	Table.FillDown
q599	Table.FillDown
q600	Table.FillDown
q601	Replacer.ReplaceValue Table.ReplaceValue
q602	Replacer.ReplaceText Table.ReplaceValue
q603	Replacer.ReplaceValue Table.ReplaceValue
q604	Replacer.ReplaceValue Table.ReplaceValue
q605	Table.AddColumn Table.ReplaceErrorValues
q606	Date.AddDays
q607	Duration.TotalDays Duration.TotalHours Duration.TotalMinutes Duration.TotalSeconds
q608	Duration.Days Duration.Hours Duration.Minutes Duration.Seconds Duration.TotalSeconds
q609	Duration.Days Duration.Hours Duration.TotalDays Duration.TotalHours
q610	
q611	DateTime.ToText
q612	DateTime.ToText
q613	DateTime.ToText
q614	DateTime.ToText
q615	DateTime.ToText
q616	Date.AddDays
q617	Date.AddMonths Date.AddYears
q618	Date.IsLeapYear
q619	Date.DaysInMonth
q620	Date.AddQuarters Date.AddWeeks Date.DayOfYear
q621	Table.AddIndexColumn
q622	Table.AddIndexColumn
q623	Table.AddIndexColumn
q624	Table.AddIndexColumn
q625	Table.AddIndexColumn
q626	Table.PromoteHeaders
q627	Table.DemoteHeaders
q628	Table.DemoteHeaders Table.PromoteHeaders
q629	Table.ColumnNames Table.PromoteHeaders
q630	Table.ColumnNames Table.PromoteHeaders
q631	Table.ReorderColumns
q632	Table.RemoveColumns
q633	Table.Column
q634	Table.SelectColumns
